consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q1,1,500000,527,101,67271,54789,17.7496,4.1553
Q2,100,1000000,2304,484,1009771,1009009,283.041,53.6409
Q3,50000,750000,2685,545,953238,925233,206.685,50.1713
Q4,200000,800000,581,124,82696,88405,20.0676,5.4934
Q5,300000,100000,3079,666,1050156,1051821,207.788,47.8922
Q6,1,1087562,444,95,45578,47319,10.05,3.4394
Q7,500000,1,514,101,101021,91944,22.4746,6.2179
Q8,250000,600000,1437,300,750620,758073,150.636,36.256
Q9,10000,900000,832,169,177015,157213,35.2902,9.6767
Q10,400000,150000,838,167,379397,352204,80.391,17.2263
